Frequency (Hz),Kinetic Energy (eV),Electron Count
130260521042084.17,0.0,0.0
132264529058116.23,0.0,0.0
134268537074148.3,0.0,0.0
136272545090180.36,0.0,0.0
138276553106212.44,0.0,0.0
140280561122244.5,0.0,0.0
142284569138276.56,0.0,0.0
144288577154308.62,0.0,0.0
146292585170340.7,0.0,0.0
148296593186372.75,0.0,0.0
150300601202404.8,0.0,0.0
152304609218436.88,0.0,0.0
154308617234468.94,0.0,0.0
156312625250501.0,0.0,0.0
158316633266533.06,0.0,0.0
160320641282565.12,0.0,0.0
162324649298597.2,0.0,0.0
164328657314629.25,0.0,0.0
166332665330661.34,0.0,0.0
168336673346693.4,0.0,0.0
170340681362725.47,0.0,0.0
172344689378757.53,0.0,0.0
174348697394789.6,0.0,0.0
176352705410821.66,0.0,0.0
178356713426853.72,0.0,0.0
180360721442885.78,0.0,0.0
182364729458917.84,0.0,0.0
184368737474949.9,0.0,0.0
186372745490981.97,0.0,0.0
188376753507014.03,0.0,0.0
190380761523046.1,0.0,0.0
192384769539078.16,0.0,0.0
194388777555110.22,0.0,0.0
196392785571142.28,0.0,0.0
198396793587174.34,0.0,0.0
200400801603206.4,0.0,0.0
202404809619238.5,0.0,0.0
204408817635270.56,0.0,0.0
206412825651302.62,0.0,0.0
208416833667334.7,0.0,0.0
210420841683366.75,0.0,0.0
212424849699398.8,0.0,0.0
214428857715430.88,0.0,0.0
216432865731462.94,0.0,0.0
218436873747495.0,0.0,0.0
220440881763527.06,0.0,0.0
222444889779559.12,0.0,0.0
224448897795591.2,0.0,0.0
226452905811623.25,0.0,0.0
228456913827655.3,0.0,0.0
230460921843687.38,0.0,0.0
232464929859719.44,0.0,0.0
234468937875751.5,0.0,0.0
236472945891783.56,0.0,0.0
238476953907815.66,0.0,0.0
240480961923847.72,0.0,0.0
242484969939879.78,0.0,0.0
244488977955911.84,0.0,0.0
246492985971943.9,0.0,0.0
248496993987975.97,0.0,0.0
250501002004008.03,0.0,0.0
252505010020040.1,0.0,0.0
254509018036072.16,0.0,0.0
256513026052104.22,0.0,0.0
258517034068136.28,0.0,0.0
260521042084168.34,0.0,0.0
262525050100200.4,0.0,0.0
264529058116232.47,0.0,0.0
266533066132264.53,0.0,0.0
268537074148296.6,0.0,0.0
270541082164328.66,0.0,0.0
272545090180360.72,0.0,0.0
274549098196392.78,0.0,0.0
276553106212424.88,0.0,0.0
278557114228456.94,0.0,0.0
280561122244489.0,0.0,0.0
282565130260521.06,0.0,0.0
284569138276553.1,0.0,0.0
286573146292585.2,0.0,0.0
288577154308617.25,0.0,0.0
